"Publication Date","Fiscal Year","Agency Number","Agency Name","Unit Appropriation Number","Unit Appropriation Name","Financial Plan Savings Flag","sum_adopted_budget_amount","sum_current_modified_budget_amount","sum_financial_plan_amount","sum_adopted_budget_position","sum_current_modified_budget_position","sum_financial_plan_position","sum_adopted_budget_number_of_contracts","sum_current_modified_budget_number_of_contracts","sum_financial_plan_number_of_contracts"
"20260217","2027","030","DEPARTMENT OF CITY PLANNING","002","OTHER THAN PERSONAL SERVICES","N","20,807,163","20,672,699","14,290,274","0","0","0","14","17","17"
"20260512","2027","030","DEPARTMENT OF CITY PLANNING","003","GEOGRAPHIC SYSTEMS","N","2,539,555","2,817,035","2,809,882","28","28","28","0","0","0"
"20260217","2027","030","DEPARTMENT OF CITY PLANNING","003","GEOGRAPHIC SYSTEMS","N","2,539,555","2,817,035","2,809,882","28","28","28","0","0","0"
"20260512","2027","030","DEPARTMENT OF CITY PLANNING","004","GEOGRAPHIC SYSTEMS","N","297,688","297,688","297,688","0","0","0","5","5","3"
"20260217","2027","030","DEPARTMENT OF CITY PLANNING","004","GEOGRAPHIC SYSTEMS","N","297,688","297,688","297,688","0","0","0","5","5","3"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES","Y","695,100","0","-1,144,000","10","0","-11","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES","N","24,894,617","25,675,236","25,621,488","244","254","254","0","0","0"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES","N","24,894,617","25,675,236","25,621,488","244","254","254","0","0","0"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES","Y","695,100","0","0","10","0","0","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","002","OTHER THAN PERSONAL SERVICES","N","25,004,821","33,921,032","23,963,755","0","0","0","24","17","24"
